EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3184,1182595.0,0.672324,7.436881,0.996537,0.02522,California Annual Grassland
3186,1022.0,0.672786,9.07408,0.928236,0.087041,Introduced Upland Vegetation-Shrub
3195,23852.0,0.6517672602707172,13.671853385436586,0.9041238724908168,0.07140605465689823,Recently Burned-Herb and Grass Cover
3198,9539.0,0.659714,7.620065,0.98284,0.051941,NLCD-Herbaceous Wetlands
3200,6908.0,0.665303,6.915078,0.971976,0.061151,Coastal Douglas-fir Woodland
3201,12533.0,0.676913,7.083305,0.973604,0.061566,Quercus garryana Woodland Alliance
3202,5888.0,0.61695,6.088512,0.989222,0.034918,Juniperus occidentalis Wooded Herbaceous Alliance
3203,21055.0,0.636701,7.641017,0.965052,0.071598,Juniperus occidentalis Woodland Alliance
3204,13605.0,0.570802,25.348731,0.985366,0.045572,Western Great Plains Mesquite Shrubland
3206,959.0,0.708617,6.608195,0.93992,0.074055,Pseudotsuga menziesii Giant Forest Alliance
3208,89797.0,0.722634,6.773067,0.987478,0.04383,Abies concolor Forest Alliance
3210,664345.0,0.616672,13.730605,0.992533,0.037781,Coleogyne ramosissima Shrubland Alliance
3211,3311.0,0.614655,13.210264,0.973546,0.060118,Grayia spinosa Shrubland Alliance
3212,77735.0,0.573217,16.457179,0.964058,0.06948,Western Great Plains Sandhill Grassland
3213,24368.0,0.567633,16.116451,0.925803,0.101749,Quercus havardii Shrubland Alliance
3214,10087.0,0.65778,9.574225,0.983919,0.046388,Arctostaphylos patula Shrubland Alliance
3215,567086.0,0.646093,8.807856,0.99272,0.037604,Quercus turbinella Shrubland Alliance
3216,32592.0,0.695516,8.344719,0.986553,0.047817,Cercocarpus montanus Shrubland Alliance
3217,241464.0,0.695618,6.471208,0.986702,0.047855,Quercus gambelii Shrubland Alliance
3218,54587.0,0.606417,8.273922,0.967222,0.078276,North American Warm Desert Sparsely Vegetated Systems II
3219,42636.0,0.621206,12.521193,0.987458,0.045114,Inter-Mountain Basins Sparsely Vegetated Systems II
3220,2086094.0,0.660725,9.476563,0.995631,0.029526,Artemisia tridentata ssp. vaseyana Shrubland Alliance
3221,32765.0,0.635607,7.104801,0.98842,0.043203,Mediterranean California Sparsely Vegetated Systems II
3222,4493.0,0.659727,9.266706,0.984032,0.044669,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II
3227,4050491.0,0.753627,5.995462,0.988343,0.040709,Dry-mesic Montane Douglas-fir Forest
3228,7725.0,0.732049,5.583948,0.960218,0.067907,Dry-mesic Montane Western Larch Forest
3230,34863.0,0.70309,8.7159,0.992413,0.034778,Pinus sabiniana Woodland Alliance
3231,188.0,0.716932,5.136423,0.833847,0.118305,Sequoiadendron giganteum Forest Alliance
3232,75475.0,0.72652,5.783838,0.971896,0.062384,Abies grandis Forest Forest
3233,246462.0,0.700166,6.080787,0.980076,0.057839,Subalpine Douglas-fir Forest
3234,54079.0,0.691195,6.12919,0.978524,0.059043,Mesic Montane Douglas-fir Forest
3235,345463.0,0.71877,6.103695,0.986842,0.046519,Xeric Montane Douglas-fir Forest
3236,93.0,0.666756,6.089024,0.880646,0.102893,Subalpine Western Larch Forest
3237,13.0,0.601816,10.005522,0.734595,0.155879,Mesic Montane Western Larch Forest
3250,2046.0,0.609986,8.940577,0.86831,0.121962,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland
3251,9121.0,0.647731,7.131933,0.947431,0.082804,Rocky Mountain Montane Riparian Shrubland
3252,15513.0,0.692043,7.645254,0.993163,0.03131,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland
3253,806.0,0.705749,8.199177,0.98567,0.037295,Western Great Plains Floodplain Shrubland
3254,1304.0,0.742317,6.129229,0.98857,0.033321,Western Great Plains Floodplain Herbaceous
3255,38576.0,0.7019693355103556,8.338427130808025,0.9462782293217477,0.027387346903400722,Great Basin Foothill and Lower Montane Riparian Shrubland
3256,774948.0,0.615357,9.088341,0.976269,0.069973,Apacherian-Chihuahuan Semi-Desert Grassland
3258,16419.0,0.704509,7.063811,0.964717,0.060409,North American Warm Desert Riparian Herbaceous
3259,4510.0,0.739606,10.534496,0.995722,0.022283,Introduced Riparian Shrubland
3260,1686.0,0.72415,9.594017,0.996467,0.019125,Mediterranean California Lower Montane Black Oak Forest and Woodland
3261,1984.0,0.702588,6.960286,0.959278,0.062056,Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland
3262,44.0,0.622804,14.867572,0.969645,0.055046,East Cascades Oak Forest and Woodland
3263,21.0,0.631422,9.880709,0.784049,0.145144,East Cascades Oak - Ponderosa Pine Forest and Woodland
3264,6431.0,0.657018,9.0444,0.97471,0.057609,California Lower Montane Blue Oak Forest and Woodland
3265,9746.0,0.692772,9.006765,0.988009,0.039537,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland
3266,148.0,0.748238,6.186673,0.965607,0.054549,Oregon White Oak Woodland
3267,299.0,0.705997,5.861149,0.926842,0.078436,Douglas-fir - Oregon White Oak Woodland
3292,40031.0,0.606672,5.211508,0.991732,0.037666,Open Water
3293,520.0,0.574769,6.370316,0.972979,0.051674,Snow-Ice
3294,165991.0,0.592199,9.022155,0.974096,0.073191,Barren
3295,1029.0,0.60247,8.099818,0.890361,0.109523,Quarries-Strip Mines-Gravel Pits
3296,22886.0,0.680414,5.715173,0.960114,0.076269,Developed-Low Intensity
3297,4686.0,0.670753,5.861445,0.930859,0.088497,Developed-Medium Intensity
3298,824.0,0.666361,6.630944,0.939399,0.075018,Developed-High Intensity
3299,10684.0,0.6355408122624873,9.965106093711432,0.9115565661224152,0.04932242000826649,Developed-Roads
3385,9321.0,0.59303,7.403039,0.987775,0.043095,Western Great Plains Wooded Draw and Ravine
3495,2291.0,0.707325,7.451296,0.981815,0.040701,Western Great Plains Depressional Wetland Systems
3503,100564.0,0.58706,13.54606,0.994918,0.030142,Chihuahuan Loamy Plains Desert Grassland
3504,2184.0,0.60995,13.412417,0.989398,0.035252,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland
3541,4032.0,0.678946,7.515647,0.968817,0.060843,Developed-Upland Deciduous Forest
3542,5288.0,0.672941,6.525685,0.960174,0.07107,Developed-Upland Evergreen Forest
3543,5780.0,0.691686,8.166815,0.983523,0.044775,Developed-Upland Mixed Forest
3544,5887.0,0.631962,9.602994,0.984985,0.046987,Developed-Upland Herbaceous
3545,13904.0,0.656208,8.795045,0.990904,0.03751,Developed-Upland Shrubland
3548,399.0,0.663275,7.306803,0.951717,0.066648,Developed-Herbaceous Wetland Vegetation
3549,15757.0,0.670623,8.090195,0.987787,0.043519,Developed-Woody Wetland Vegetation
3900,3411.0,0.646809,7.694555,0.977574,0.053011,Western Cool Temperate Urban Deciduous Forest
