EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME,source
3298,824,0.666361,6.630944,0.939399,0.075018,Developed-High Intensity,staley2018
3299,3159,0.6167282554798288,11.017618822628917,0.874142024234275,0.061830258584819,Developed-Roads,nv_refit
3385,9321,0.59303,7.403039,0.987775,0.043095,Western Great Plains Wooded Draw and Ravine,staley2018
3495,2291,0.707325,7.451296,0.981815,0.040701,Western Great Plains Depressional Wetland Systems,staley2018
3503,100564,0.58706,13.54606,0.994918,0.030142,Chihuahuan Loamy Plains Desert Grassland,staley2018
3504,2184,0.60995,13.412417,0.989398,0.035252,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,staley2018
3541,4032,0.678946,7.515647,0.968817,0.060843,Developed-Upland Deciduous Forest,staley2018
3542,5288,0.672941,6.525685,0.960174,0.07107,Developed-Upland Evergreen Forest,staley2018
3543,5780,0.691686,8.166815,0.983523,0.044775,Developed-Upland Mixed Forest,staley2018
3544,5887,0.631962,9.602994,0.984985,0.046987,Developed-Upland Herbaceous,staley2018
3545,13904,0.656208,8.795045,0.990904,0.03751,Developed-Upland Shrubland,staley2018
3548,399,0.663275,7.306803,0.951717,0.066648,Developed-Herbaceous Wetland Vegetation,staley2018
3549,15757,0.670623,8.090195,0.987787,0.043519,Developed-Woody Wetland Vegetation,staley2018
3900,3411,0.646809,7.694555,0.977574,0.053011,Western Cool Temperate Urban Deciduous Forest,staley2018
3901,8568,0.64103,6.986128,0.963264,0.071649,Western Cool Temperate Urban Evergreen Forest,staley2018
3902,2839,0.66982,7.664855,0.981167,0.045685,Western Cool Temperate Urban Mixed Forest,staley2018
3903,44340,0.674953,6.204025,0.969723,0.069957,Western Cool Temperate Urban Herbaceous,staley2018
3904,7626,0.668092,5.635228,0.941183,0.087854,Western Cool Temperate Urban Shrubland,staley2018
3910,832,0.66928,7.292334,0.950719,0.067583,Western Warm Temperate Urban Deciduous Forest,staley2018
3911,1790,0.674569,6.593017,0.955912,0.064668,Western Warm Temperate Urban Evergreen Forest,staley2018
3912,1954,0.673789,8.783193,0.981065,0.044408,Western Warm Temperate Urban Mixed Forest,staley2018
3913,12823,0.661555,7.192363,0.964473,0.068806,Western Warm Temperate Urban Herbaceous,staley2018
3914,7277,0.681898,6.065877,0.934472,0.08088,Western Warm Temperate Urban Shrubland,staley2018
3920,326,0.684815,6.878709,0.978673,0.043551,Western Cool Temperate Developed Ruderal Deciduous Forest,staley2018
