fire,state,date,filename,url
0262-FERRY,OR,2025-07-20,0262-FERRY-OR-dNBR_20250720_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250720_235959.tif
0262-FERRY,OR,2025-07-21,0262-FERRY-OR-dNBR_20250721_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250721_235959.tif
0262-FERRY,OR,2025-07-22,0262-FERRY-OR-dNBR_20250722_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250722_235959.tif
0262-FERRY,OR,2025-07-23,0262-FERRY-OR-dNBR_20250723_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250723_235959.tif
0262-FERRY,OR,2025-07-24,0262-FERRY-OR-dNBR_20250724_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250724_235959.tif
0262-FERRY,OR,2025-07-25,0262-FERRY-OR-dNBR_20250725_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250725_235959.tif
0262-FERRY,OR,2025-07-26,0262-FERRY-OR-dNBR_20250726_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250726_235959.tif
0262-FERRY,OR,2025-07-27,0262-FERRY-OR-dNBR_20250727_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250727_235959.tif
0262-FERRY,OR,2025-07-28,0262-FERRY-OR-dNBR_20250728_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250728_235959.tif
0262-FERRY,OR,2025-07-29,0262-FERRY-OR-dNBR_20250729_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250729_235959.tif
0262-FERRY,OR,2025-07-30,0262-FERRY-OR-dNBR_20250730_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250730_235959.tif
0262-FERRY,OR,2025-07-31,0262-FERRY-OR-dNBR_20250731_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250731_235959.tif
0262-FERRY,OR,2025-08-01,0262-FERRY-OR-dNBR_20250801_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250801_235959.tif
