event_id,incid_name,ig_date,ig_year,incid_type,km2,map_prog,asmnt_type,low_t,mod_t,high_t,threshold_scale,dnbr_offst,evt_vintage,have_bundle,thresholds_ok,include,lon,lat,region
NV4034511406020200530,IBAPAH,2020-05-30,2020,Wildfire,27.077540260000003,MTBS,Initial,55.0,9999.0,9999.0,dnbr,15,LF2016_EVT,False,True,True,-114.1184,40.3854,Central Basin and Range
NV4061811574920200719,CEDAR,2020-07-19,2020,Wildfire,24.59681508,MTBS,Initial,20.0,400.0,9999.0,dnbr,-14,LF2016_EVT,False,True,True,-115.7542,40.5646,Central Basin and Range
NV3833511422820200626,MILLER,2020-06-26,2020,Wildfire,20.03600386,MTBS,Extended,100.0,278.0,500.0,dnbr,63,LF2016_EVT,False,True,True,-114.2148,38.3558,Central Basin and Range
NV3712011647620200727,TIMBER MOUNTAIN,2020-07-27,2020,Wildfire,18.64793088,MTBS,Initial,40.0,9999.0,9999.0,dnbr,10,LF2016_EVT,False,True,True,-116.5023,37.107,Central Basin and Range
NV3957611991320200627,POEVILLE ROAD,2020-06-27,2020,Wildfire,12.79212446,MTBS,Initial,95.0,370.0,9999.0,dnbr,21,LF2016_EVT,True,True,True,-119.8812,39.5902,Central Basin and Range
NV4094511436120200717,SHAFTER,2020-07-17,2020,Wildfire,12.68285924,MTBS,Initial,15.0,335.0,9999.0,dnbr,-5,LF2016_EVT,False,True,True,-114.3195,40.9462,Central Basin and Range
CA4003412011520201117,LAURA 2,2020-11-17,2020,Wildfire,12.53717228,MTBS,Initial,10.0,9999.0,9999.0,dnbr,-22,LF2016_EVT,True,True,True,-120.0873,40.0663,Central Basin and Range
NV3701011608020200727,AREA-16,2020-07-27,2020,Wildfire,12.16486116,MTBS,Initial,40.0,9999.0,9999.0,dnbr,17,LF2016_EVT,False,True,True,-116.1624,37.0214,Mojave Basin and Range
NV3594511544620200720,COTTONWOOD,2020-07-20,2020,Wildfire,11.26241138,MTBS,Initial,20.0,9999.0,9999.0,dnbr,10,LF2016_EVT,False,True,True,-115.4512,35.9441,Mojave Basin and Range
NV3630611561820200628,MAHOGANY,2020-06-28,2020,Wildfire,10.97913118,MTBS,Extended,70.0,400.0,650.0,dnbr,14,LF2016_EVT,False,True,True,-115.5866,36.3382,Mojave Basin and Range
NV4006111441520200821,FLAT,2020-08-21,2020,Wildfire,10.39233648,MTBS,Extended,80.0,270.0,500.0,dnbr,28,LF2016_EVT,False,True,True,-114.4454,40.0484,Central Basin and Range
CA3858612053820210815,CALDOR,2021-08-15,2021,Wildfire,916.94967938,MTBS,Extended,116.0,312.0,553.0,dnbr,-2,LF2016_EVT,False,True,True,-120.3128,38.7059,Sierra Nevada
CA3983912034520210702,SUGAR,2021-07-02,2021,Wildfire,438.55012448,MTBS,Initial,110.0,450.0,650.0,dnbr,44,LF2016_EVT,True,True,True,-120.1786,39.9365,Sierra Nevada
CA3862811985720210704,TAMARACK,2021-07-04,2021,Wildfire,284.90703772,PROVISIONAL,Initial,55.0,364.0,690.0,dnbr,23,LF2016_EVT,False,True,True,-119.7312,38.7186,Sierra Nevada
NV3700011641620210517,CHERRYWOOD,2021-05-17,2021,Wildfire,103.15041454,MTBS,Initial,40.0,207.0,395.0,dnbr,7,LF2016_EVT,False,True,True,-116.4124,37.0717,Central Basin and Range
NV3727011619820210825,SOUTHERN BENCH,2021-08-25,2021,Wildfire,58.2140811,MTBS,Extended,30.0,166.0,340.0,dnbr,8,LF2016_EVT,False,True,True,-116.1448,37.3034,Central Basin and Range
AZ3620611379420210710,SNAP POINT,2021-07-10,2021,Wildfire,37.68031346,MTBS,Initial,51.0,360.0,9999.0,dnbr,-1,LF2016_EVT,False,True,True,-113.8076,36.2095,Mojave Basin and Range
NV3774011500120210309,BIG ROCKS,2021-03-09,2021,Wildfire,25.5761552,MTBS,Initial,50.0,9999.0,9999.0,dnbr,11,LF2016_EVT,False,True,True,-115.0023,37.7144,Central Basin and Range
NV4164611529420220713,WILDCAT,2022-07-13,2022,Wildfire,80.96957488000001,MTBS,Initial,20.0,500.0,700.0,dnbr,10,LF2016_EVT,False,True,True,-115.2401,41.6327,Central Basin and Range
NV4181411870020220826,CHERRY GULCH,2022-08-26,2022,Wildfire,63.30098412,MTBS,Initial,15.0,450.0,550.0,dnbr,-9,LF2016_EVT,False,True,True,-118.631,41.8189,Northern Basin and Range
NV3993011458820220709,BECKY PEAK,2022-07-09,2022,Wildfire,25.5356866,MTBS,Initial,40.0,385.0,580.0,dnbr,6,LF2016_EVT,False,True,True,-114.5655,39.9666,Central Basin and Range
NV3732511405920220721,DODGE SPRINGS,2022-07-21,2022,Wildfire,22.64622856,MTBS,Extended,35.0,200.0,9999.0,dnbr,4,LF2016_EVT,False,True,True,-114.0548,37.3812,Central Basin and Range
NV4008111442220220617,KINSLEY,2022-06-17,2022,Wildfire,12.87710852,MTBS,Initial,35.0,345.0,585.0,dnbr,1,LF2016_EVT,False,True,True,-114.4088,40.0981,Central Basin and Range
CA3528611528620230728,YORK,2023-07-28,2023,Wildfire,384.4112314,MTBS,Initial,45.0,275.0,375.0,dnbr,-3,LF2022_EVT,False,True,True,-115.2061,35.3028,Mojave Basin and Range
NV4131911680120241006,CASTLE RIDGE,2024-10-06,2024,Wildfire,102.87522806,MTBS,Initial,50.0,515.0,9999.0,dnbr,-22,LF2023_EVT,False,True,True,-116.7388,41.3122,Northern Basin and Range
NV4077811973920240724,STOCKADE CANYON,2024-07-24,2024,Wildfire,73.60428968000001,MTBS,Initial,80.0,290.0,9999.0,dnbr,13,LF2023_EVT,False,True,True,-119.6819,40.7804,Northern Basin and Range
NV4190111855220240707,WILDER,2024-07-07,2024,Wildfire,69.92164708,MTBS,Initial,55.0,9999.0,9999.0,dnbr,-8,LF2023_EVT,False,True,True,-118.5189,41.8447,Northern Basin and Range
NV3888711544420240730,BROOM CANYON,2024-07-30,2024,Wildfire,34.22429502,BAER,Emergency,85.0,280.0,530.0,barc256->dnbr,-15,LF2023_EVT,False,True,True,-115.4416,38.89,Central Basin and Range
NV3930511982820240907,DAVIS,2024-09-07,2024,Wildfire,22.3589015,BAER,Emergency,100.0,515.0,810.0,barc256->dnbr,-19,LF2023_EVT,False,True,True,-119.8267,39.3307,Sierra Nevada
CA3959712021620240902,BEAR,2024-09-02,2024,Wildfire,13.67029308,BAER,Emergency,45.0,325.0,660.0,barc256->dnbr,-2,LF2023_EVT,True,True,True,-120.1953,39.614,Sierra Nevada
